candidate_id,age_group,minimal_proxy,with_proxies,without_direct_age_proxies,delta_with_vs_without,delta_without_vs_minimal,delta_with_vs_minimal
cand_000663,40-49,0.6302433,0.7100595,0.6397721,0.07028741,0.009528816,0.07981622
cand_000674,<30,0.50571895,0.5983391,0.5429821,0.05535698,0.037263155,0.092620134
cand_000679,40-49,0.6278304,0.663403,0.63567203,0.027730942,0.007841647,0.03557259
cand_000696,60+,0.6869843,0.5785044,0.6669732,-0.08846879,-0.020011127,-0.10847992
cand_000707,60+,0.6767124,0.6844183,0.6941043,-0.009685993,0.01739192,0.007705927
cand_000709,<30,0.6081455,0.6235018,0.5650518,0.058449984,-0.04309368,0.015356302
cand_000710,60+,0.67326397,0.66415435,0.6973773,-0.033222973,0.024113357,-0.009109616
cand_000711,30-39,0.60510415,0.57177055,0.65115404,-0.07938349,0.046049893,-0.0333336
cand_000715,30-39,0.6428381,0.6582072,0.6726558,-0.014448643,0.0298177,0.015369058
cand_000722,50-59,0.6531556,0.6730725,0.6711608,0.0019116998,0.018005192,0.019916892
cand_000723,40-49,0.6276967,0.6454002,0.59205085,0.053349376,-0.035645843,0.017703533
cand_000726,30-39,0.6115081,0.6327831,0.64108133,-0.008298218,0.029573262,0.021275043
cand_000737,60+,0.67471457,0.67419714,0.7522708,-0.07807368,0.07755625,-0.0005174279
cand_000743,40-49,0.6271472,0.68159693,0.65132093,0.030276,0.024173737,0.054449737
cand_000744,<30,0.58627635,0.5991053,0.66443557,-0.06533027,0.07815921,0.012828946
cand_000748,30-39,0.5783358,0.62582475,0.62574476,7.998943e-05,0.04740894,0.047488928
cand_000750,<30,0.5774224,0.5214607,0.5646391,-0.04317838,-0.012783289,-0.05596167
cand_000751,40-49,0.48360252,0.564219,0.5113138,0.052905202,0.027711272,0.080616474
cand_000760,30-39,0.44373745,0.5359412,0.5124986,0.023442566,0.06876117,0.09220374
cand_000786,60+,0.6140535,0.60201854,0.62161535,-0.019596815,0.0075618625,-0.012034953
cand_000799,50-59,0.7012006,0.6939062,0.64811814,0.04578805,-0.053082466,-0.0072944164
cand_000805,50-59,0.5217913,0.6344317,0.57850105,0.055930674,0.056709766,0.11264044
cand_000809,<30,0.5358672,0.58631766,0.5761863,0.010131359,0.040319085,0.050450444
cand_000811,40-49,0.569268,0.63712895,0.60883284,0.028296113,0.039564848,0.06786096
cand_000813,60+,0.6059153,0.58850145,0.6593445,-0.07084304,0.053429186,-0.017413855
cand_000814,<30,0.5943152,0.5970526,0.5999312,-0.0028786063,0.0056160092,0.002737403
cand_000818,<30,0.593119,0.55864614,0.61982846,-0.06118232,0.026709437,-0.034472883
cand_000819,40-49,0.5384083,0.57240474,0.56424963,0.0081551075,0.025841355,0.033996463
