age_group,n_outcome,actual_callback_rate,predicted_callback_rate,avg_predicted_probability,n_error,tp,fp,tn,fn,tpr,fnr,fpr,tnr,precision,selection_rate,statistical_parity_difference,disparate_impact_ratio,equal_opportunity_difference
<30,524,0.22900763358778625,0.21564885496183206,0.22535007618440486,524.0,109.0,4.0,400.0,11.0,0.9083333333333333,0.09166666666666666,0.009900990099009901,0.9900990099009901,0.9646017699115044,0.21564885496183206,-0.19456241264380175,0.5257019296923631,0.07020383693045562
30-39,568,0.4894366197183099,0.4102112676056338,0.419765842189106,568.0,233.0,0.0,290.0,45.0,0.8381294964028777,0.1618705035971223,0.0,1.0,1.0,0.4102112676056338,0.0,1.0,0.0
40-49,499,0.2985971943887776,0.36472945891783565,0.36748265634707444,499.0,147.0,35.0,315.0,2.0,0.9865771812080537,0.013422818791946308,0.1,0.9,0.8076923076923077,0.36472945891783565,-0.045481808687798164,0.8891258912675135,0.148447684805176
50-59,307,0.5732899022801303,0.5635179153094463,0.5633328370554304,307.0,171.0,2.0,129.0,5.0,0.9715909090909091,0.028409090909090908,0.015267175572519083,0.9847328244274809,0.9884393063583815,0.5635179153094463,0.15330664770381247,1.3737260768058603,0.13346141268803136
60+,102,0.7549019607843137,0.6176470588235294,0.6528263693638102,102.0,63.0,0.0,25.0,14.0,0.8181818181818182,0.18181818181818182,0.0,1.0,1.0,0.6176470588235294,0.20743579121789563,1.5056803837414794,-0.019947678221059473
