age_group,n,n_label_positive,selection_rate,selection_lo,selection_hi,tpr,tpr_lo,tpr_hi,fnr,fpr,statistical_parity_difference,disparate_impact_ratio,adverse_impact_4_5,equal_opportunity_difference
<30,2494,1230,0.4867682437850842,0.46718698410479836,0.5063902034958886,0.859349593495935,0.8387994008615263,0.8776620963031017,0.14065040650406505,0.12420886075949367,-0.012898422881582439,0.9741859448667463,False,-0.006391147244805717
30-39,3000,1512,0.49966666666666665,0.4817862715555832,0.5175479143748601,0.8657407407407407,0.8476257534765993,0.8820019332157304,0.13425925925925927,0.12768817204301075,0.0,1.0,False,0.0
40-49,2502,1247,0.491207034372502,0.4716463963712682,0.5107946326227434,0.8700882117080995,0.8502848972568378,0.8876182872870726,0.12991178829190056,0.1147410358565737,-0.008459632294164632,0.9830694483772556,False,0.004347470967358769
50-59,1494,747,0.5133868808567604,0.4880398849528972,0.5386652085629994,0.8795180722891566,0.8542110738939805,0.900941544181523,0.12048192771084337,0.14725568942436412,0.013720214190093782,1.0274587342029895,False,0.013777331548415872
60+,510,264,0.5333333333333333,0.48994697613749194,0.5762212749344338,0.9053030303030303,0.8639455939187828,0.9350341015430124,0.0946969696969697,0.13414634146341464,0.03366666666666668,1.067378252168112,False,0.039562289562289576
