age_group,n,screen_rate,lo,hi
<30,2499,0.24649859943977592,0.22999869756254254,0.26377669757233135
30-39,2493,0.40754111512234253,0.3884086886141089,0.4269580531127191
40-49,2493,0.5282791817087846,0.5086546244685382,0.5478167191681587
50-59,2481,0.5199516324062878,0.5002767281769059,0.5395648456280401
60+,2479,0.5490116982654296,0.5293628254345935,0.5685089034747337
