model,variant,accuracy,macro_f1,lift_over_majority
baseline,majority_class,0.3001,,1.0
logreg,with_grad_year,0.9411,0.9371760572603698,3.1359546817727426
logreg,without_grad_year,0.9001,0.8974115889280323,2.9993335554815066
logreg,without_grad_and_experience,0.8498,0.8410436855725729,2.8317227590803067
hgb,with_grad_year,0.9377,0.934617753625071,3.124625124958347
hgb,without_grad_year,0.9019,0.8981957228094662,3.005331556147951
hgb,without_grad_and_experience,0.8462,0.8365122309782143,2.8197267577474174
