age_group,n,screen_rate,lo,hi
<30,2359,0.26791013141161507,0.2504261965517635,0.28614874778644345
30-39,1955,0.5253196930946291,0.5031559022195079,0.5473841720774643
40-49,2391,0.548306148055207,0.5282964884843611,0.5681608304464609
50-59,2381,0.4838303233935321,0.46379920948301073,0.5039135308516095
60+,2379,0.4358974358974359,0.41609012742648016,0.45591143574918364
