age_group,n,n_label_positive,selection_rate,selection_lo,selection_hi,tpr,tpr_lo,tpr_hi,fnr,fpr,statistical_parity_difference,disparate_impact_ratio,adverse_impact_4_5,equal_opportunity_difference
<30,2494,1230,0.49278267842822776,0.4731873517897876,0.5124002050833144,0.8642276422764228,0.8439462377187382,0.8822409811268576,0.13577235772357724,0.13132911392405064,-0.009550654905105538,0.9809874155837315,False,-0.004158601109820581
30-39,3000,1512,0.5023333333333333,0.484449718319749,0.5202109801671485,0.8683862433862434,0.8504079663303367,0.8844973166490987,0.13161375661375663,0.1303763440860215,0.0,1.0,False,0.0
40-49,2502,1247,0.49720223820943243,0.47762969237132236,0.5167833623085905,0.8724939855653568,0.8528303749137861,0.8898695800605289,0.12750601443464316,0.12430278884462151,-0.005131095123900864,0.9897854775237541,False,0.004107742179113472
50-59,1494,747,0.5100401606425703,0.48469778670538116,0.5353310334315411,0.8795180722891566,0.8542110738939805,0.900941544181523,0.12048192771084337,0.14056224899598393,0.0077068273092369965,1.0153420583461918,False,0.011131828902913199
60+,510,264,0.5352941176470588,0.49190467636418306,0.5781558247707972,0.9090909090909091,0.868297998293246,0.9381487971261361,0.09090909090909091,0.13414634146341464,0.03296078431372551,1.0656153635973302,False,0.04070466570466569
