model_variant,accuracy,precision,recall,f1,roc_auc
with_grad_year,0.872,0.8697813121272365,0.875,0.872382851445663,0.948213
without_grad_year,0.87,0.8707414829659319,0.869,0.8698698698698699,0.948036
