age_group,with_proxies,without_direct_age_proxies,minimal_proxy
<30,0.07455870883587991,0.0738754451936363,0.08774107210180819
30-39,0.09030615280932094,0.08066887098568837,0.056666754583415475
40-49,-0.011339359334535977,-0.018468308538329915,-0.0372820722747986
50-59,-0.06019436343778937,-0.05563880322293927,-0.04731440492971617
60+,-0.07964411743663904,-0.06861679178036084,-0.049647785990981345
